time_from_creep_onset_s,stress_Pa,strain_frac
1.000000000000000000e+00,2.688000000000000000e+08,8.130000000000001115e-02
2.000000000000000000e+00,2.688000000000000000e+08,8.299821059237187659e-02
3.000000000000000000e+00,2.688000000000000000e+08,8.399160010723687175e-02
4.000000000000000000e+00,2.688000000000000000e+08,8.469642118474374204e-02
5.000000000000000000e+00,2.688000000000000000e+08,8.524312288546355421e-02
6.000000000000000000e+00,2.688000000000000000e+08,8.568981069960873720e-02
7.000000000000000000e+00,2.688000000000000000e+08,8.606747986518552274e-02
8.000000000000000000e+00,2.688000000000000000e+08,8.639463177711560748e-02
9.000000000000000000e+00,2.688000000000000000e+08,8.668320021447374624e-02
1.000000000000000000e+01,2.688000000000000000e+08,8.694133347783541965e-02
1.100000000000000000e+01,2.688000000000000000e+08,8.717484341835601835e-02
1.200000000000000000e+01,2.688000000000000000e+08,8.738802129198060265e-02
1.300000000000000000e+01,2.688000000000000000e+08,8.758412592578077027e-02
1.400000000000000000e+01,2.688000000000000000e+08,8.776569045755738818e-02
1.500000000000000000e+01,2.688000000000000000e+08,8.793472299270042869e-02
1.600000000000000000e+01,2.688000000000000000e+08,8.809284236948747293e-02
1.700000000000000000e+01,2.688000000000000000e+08,8.824137269293773345e-02
1.800000000000000000e+01,2.688000000000000000e+08,8.838141080684561168e-02
1.900000000000000000e+01,2.688000000000000000e+08,8.851387549895779749e-02
2.000000000000000000e+01,2.688000000000000000e+08,8.863954407020728510e-02
2.100000000000000000e+01,2.688000000000000000e+08,8.875907997242238334e-02
2.200000000000000000e+01,2.688000000000000000e+08,8.887305401072788380e-02
2.300000000000000000e+01,2.688000000000000000e+08,8.898196082902641579e-02
2.400000000000000000e+01,2.688000000000000000e+08,8.908623188435248197e-02
2.500000000000000000e+01,2.688000000000000000e+08,8.918624577092711114e-02
2.600000000000000000e+01,2.688000000000000000e+08,8.928233651815263572e-02
2.700000000000000000e+01,2.688000000000000000e+08,8.937480032171060684e-02
2.800000000000000000e+01,2.688000000000000000e+08,8.946390104992925363e-02
2.900000000000000000e+01,2.688000000000000000e+08,8.954987478346687624e-02
3.000000000000000000e+01,2.688000000000000000e+08,8.963293358507229414e-02
3.100000000000000000e+01,2.688000000000000000e+08,8.971326865098860903e-02
3.200000000000000000e+01,2.688000000000000000e+08,8.979105296185933838e-02
3.300000000000000000e+01,2.688000000000000000e+08,8.986644352559287896e-02
3.400000000000000000e+01,2.688000000000000000e+08,8.993958328530959889e-02
3.500000000000000000e+01,2.688000000000000000e+08,9.001060275064906580e-02
3.600000000000000000e+01,2.688000000000000000e+08,9.007962139921747713e-02
3.700000000000000000e+01,2.688000000000000000e+08,9.014674888597835889e-02
3.800000000000000000e+01,2.688000000000000000e+08,9.021208609132966294e-02
3.900000000000000000e+01,2.688000000000000000e+08,9.027572603301763088e-02
4.000000000000000000e+01,2.688000000000000000e+08,9.033775466257915054e-02
4.100000000000000000e+01,2.688000000000000000e+08,9.039825156342555512e-02
4.200000000000000000e+01,2.688000000000000000e+08,9.045729056479424879e-02
4.300000000000000000e+01,2.688000000000000000e+08,9.051494028344922449e-02
4.400000000000000000e+01,2.688000000000000000e+08,9.057126460309974925e-02
4.500000000000000000e+01,2.688000000000000000e+08,9.062632309993728930e-02
4.600000000000000000e+01,2.688000000000000000e+08,9.068017142139829512e-02
4.700000000000000000e+01,2.688000000000000000e+08,9.073286162418964240e-02
4.800000000000000000e+01,2.688000000000000000e+08,9.078444247672434742e-02
4.900000000000000000e+01,2.688000000000000000e+08,9.083495973037104820e-02
5.000000000000000000e+01,2.688000000000000000e+08,9.088445636329897659e-02
5.100000000000000000e+01,2.688000000000000000e+08,9.093297280017459405e-02
5.200000000000000000e+01,2.688000000000000000e+08,9.098054711052450116e-02
5.300000000000000000e+01,2.688000000000000000e+08,9.102721518820271196e-02
5.400000000000000000e+01,2.688000000000000000e+08,9.107301091408247229e-02
5.500000000000000000e+01,2.688000000000000000e+08,9.111796630381956141e-02
5.600000000000000000e+01,2.688000000000000000e+08,9.116211164230111907e-02
5.700000000000000000e+01,2.688000000000000000e+08,9.120547560619465810e-02
5.800000000000000000e+01,2.688000000000000000e+08,9.124808537583874168e-02
5.900000000000000000e+01,2.688000000000000000e+08,9.128996673756901992e-02
6.000000000000000000e+01,2.688000000000000000e+08,9.133114417744415958e-02
6.100000000000000000e+01,2.688000000000000000e+08,9.137164096722460993e-02
6.200000000000000000e+01,2.688000000000000000e+08,9.141147924336047448e-02
6.300000000000000000e+01,2.688000000000000000e+08,9.145068007965927170e-02
6.400000000000000000e+01,2.688000000000000000e+08,9.148926355423120382e-02
6.500000000000000000e+01,2.688000000000000000e+08,9.152724881124431333e-02
6.600000000000000000e+01,2.688000000000000000e+08,9.156465411796474441e-02
6.700000000000000000e+01,2.688000000000000000e+08,9.160149691750786582e-02
6.800000000000000000e+01,2.688000000000000000e+08,9.163779387768146434e-02
6.900000000000000000e+01,2.688000000000000000e+08,9.167356093626329028e-02
7.000000000000000000e+01,2.688000000000000000e+08,9.170881334302093124e-02
7.100000000000000000e+01,2.688000000000000000e+08,9.174356569875122269e-02
7.200000000000000000e+01,2.688000000000000000e+08,9.177783199158934258e-02
7.300000000000000000e+01,2.688000000000000000e+08,9.181162563081356198e-02
7.400000000000000000e+01,2.688000000000000000e+08,9.184495947835022434e-02
7.500000000000000000e+01,2.688000000000000000e+08,9.187784587816397175e-02
7.600000000000000000e+01,2.688000000000000000e+08,9.191029668370152839e-02
7.700000000000000000e+01,2.688000000000000000e+08,9.194232328354154382e-02
7.800000000000000000e+01,2.688000000000000000e+08,9.197393662538949632e-02
7.900000000000000000e+01,2.688000000000000000e+08,9.200514723854422150e-02
8.000000000000000000e+01,2.688000000000000000e+08,9.203596525495100211e-02
8.100000000000000000e+01,2.688000000000000000e+08,9.206640042894748133e-02
8.200000000000000000e+01,2.688000000000000000e+08,9.209646215579742057e-02
8.300000000000000000e+01,2.688000000000000000e+08,9.212615948910167496e-02
8.400000000000000000e+01,2.688000000000000000e+08,9.215550115716614199e-02
8.500000000000000000e+01,2.688000000000000000e+08,9.218449557840127651e-02
8.600000000000000000e+01,2.688000000000000000e+08,9.221315087582108994e-02
8.700000000000000000e+01,2.688000000000000000e+08,9.224147489070373684e-02
8.800000000000000000e+01,2.688000000000000000e+08,9.226947519547161469e-02
8.900000000000000000e+01,2.688000000000000000e+08,9.229715910584374017e-02
9.000000000000000000e+01,2.688000000000000000e+08,9.232453369230915474e-02
9.100000000000000000e+01,2.688000000000000000e+08,9.235160579096629574e-02
9.200000000000000000e+01,2.688000000000000000e+08,9.237838201377016056e-02
9.300000000000000000e+01,2.688000000000000000e+08,9.240486875822546964e-02
9.400000000000000000e+01,2.688000000000000000e+08,9.243107221656150785e-02
9.500000000000000000e+01,2.688000000000000000e+08,9.245699838442134055e-02
9.600000000000000000e+01,2.688000000000000000e+08,9.248265306909621286e-02
9.700000000000000000e+01,2.688000000000000000e+08,9.250804189733330407e-02
9.800000000000000000e+01,2.688000000000000000e+08,9.253317032274291365e-02
9.900000000000000000e+01,2.688000000000000000e+08,9.255804363282975344e-02
1.000000000000000000e+02,2.688000000000000000e+08,9.258266695567084203e-02
1.010000000000000000e+02,2.688000000000000000e+08,9.260704526626110933e-02
