time_from_recovery_onset_s,stress_Pa,strain_frac
1.000000000000000000e+00,3.360000000000000000e+06,5.820000000000000173e-02
2.000000000000000000e+00,3.360000000000000000e+06,5.661962442832332854e-02
3.000000000000000000e+00,3.360000000000000000e+06,5.569516398183670808e-02
4.000000000000000000e+00,3.360000000000000000e+06,5.503924885664664840e-02
5.000000000000000000e+00,3.360000000000000000e+06,5.453048155965025540e-02
6.000000000000000000e+00,3.360000000000000000e+06,5.411478841016004182e-02
7.000000000000000000e+00,3.360000000000000000e+06,5.376332486015388684e-02
8.000000000000000000e+00,3.360000000000000000e+06,5.345887328496998214e-02
9.000000000000000000e+00,3.360000000000000000e+06,5.319032796367342136e-02
1.000000000000000000e+01,3.360000000000000000e+06,5.295010598797358220e-02
1.100000000000000000e+01,3.360000000000000000e+06,5.273279877801972243e-02
1.200000000000000000e+01,3.360000000000000000e+06,5.253441283848336169e-02
1.300000000000000000e+01,3.360000000000000000e+06,5.235191546498769999e-02
1.400000000000000000e+01,3.360000000000000000e+06,5.218294928847721365e-02
1.500000000000000000e+01,3.360000000000000000e+06,5.202564554148696174e-02
1.600000000000000000e+01,3.360000000000000000e+06,5.187849771329330201e-02
1.700000000000000000e+01,3.360000000000000000e+06,5.174027357555182477e-02
1.800000000000000000e+01,3.360000000000000000e+06,5.160995239199674817e-02
1.900000000000000000e+01,3.360000000000000000e+06,5.148667912750051756e-02
2.000000000000000000e+01,3.360000000000000000e+06,5.136973041629690206e-02
2.100000000000000000e+01,3.360000000000000000e+06,5.125848884199060013e-02
2.200000000000000000e+01,3.360000000000000000e+06,5.115242320634304229e-02
2.300000000000000000e+01,3.360000000000000000e+06,5.105107318768154628e-02
2.400000000000000000e+01,3.360000000000000000e+06,5.095403726680668849e-02
2.500000000000000000e+01,3.360000000000000000e+06,5.086096311930050212e-02
2.600000000000000000e+01,3.360000000000000000e+06,5.077153989331102679e-02
2.700000000000000000e+01,3.360000000000000000e+06,5.068549194551013465e-02
2.800000000000000000e+01,3.360000000000000000e+06,5.060257371680054045e-02
2.900000000000000000e+01,3.360000000000000000e+06,5.052256550763083859e-02
3.000000000000000000e+01,3.360000000000000000e+06,5.044526996981028855e-02
3.100000000000000000e+01,3.360000000000000000e+06,5.037050917377387110e-02
3.200000000000000000e+01,3.360000000000000000e+06,5.029812214161662187e-02
3.300000000000000000e+01,3.360000000000000000e+06,5.022796275985642878e-02
3.400000000000000000e+01,3.360000000000000000e+06,5.015989800387515851e-02
3.500000000000000000e+01,3.360000000000000000e+06,5.009380641980414051e-02
3.600000000000000000e+01,3.360000000000000000e+06,5.002957682032007497e-02
3.700000000000000000e+01,3.360000000000000000e+06,4.996710715917116602e-02
3.800000000000000000e+01,3.360000000000000000e+06,4.990630355582384436e-02
3.900000000000000000e+01,3.360000000000000000e+06,4.984707944682440633e-02
4.000000000000000000e+01,3.360000000000000000e+06,4.978935484462022193e-02
4.100000000000000000e+01,3.360000000000000000e+06,4.973305568791418219e-02
4.200000000000000000e+01,3.360000000000000000e+06,4.967811327031392693e-02
4.300000000000000000e+01,3.360000000000000000e+06,4.962446373621867690e-02
4.400000000000000000e+01,3.360000000000000000e+06,4.957204763466636216e-02
4.500000000000000000e+01,3.360000000000000000e+06,4.952080952332367503e-02
4.600000000000000000e+01,3.360000000000000000e+06,4.947069761600486615e-02
4.700000000000000000e+01,3.360000000000000000e+06,4.942166346810106942e-02
4.800000000000000000e+01,3.360000000000000000e+06,4.937366169513000835e-02
4.900000000000000000e+01,3.360000000000000000e+06,4.932664972030777889e-02
5.000000000000000000e+01,3.360000000000000000e+06,4.928058754762383586e-02
5.100000000000000000e+01,3.360000000000000000e+06,4.923543755738854499e-02
5.200000000000000000e+01,3.360000000000000000e+06,4.919116432163434666e-02
5.300000000000000000e+01,3.360000000000000000e+06,4.914773443710115930e-02
5.400000000000000000e+01,3.360000000000000000e+06,4.910511637383345451e-02
5.500000000000000000e+01,3.360000000000000000e+06,4.906328033766996222e-02
5.600000000000000000e+01,3.360000000000000000e+06,4.902219814512386031e-02
5.700000000000000000e+01,3.360000000000000000e+06,4.898184310933723085e-02
5.800000000000000000e+01,3.360000000000000000e+06,4.894218993595417233e-02
5.900000000000000000e+01,3.360000000000000000e+06,4.890321462789495865e-02
6.000000000000000000e+01,3.360000000000000000e+06,4.886489439813361535e-02
6.100000000000000000e+01,3.360000000000000000e+06,4.882720758968485397e-02
6.200000000000000000e+01,3.360000000000000000e+06,4.879013360209719097e-02
6.300000000000000000e+01,3.360000000000000000e+06,4.875365282382730647e-02
6.400000000000000000e+01,3.360000000000000000e+06,4.871774656993995561e-02
6.500000000000000000e+01,3.360000000000000000e+06,4.868239702463794671e-02
6.600000000000000000e+01,3.360000000000000000e+06,4.864758718817974864e-02
6.700000000000000000e+01,3.360000000000000000e+06,4.861330082778859973e-02
6.800000000000000000e+01,3.360000000000000000e+06,4.857952243219847838e-02
6.900000000000000000e+01,3.360000000000000000e+06,4.854623716951825263e-02
7.000000000000000000e+01,3.360000000000000000e+06,4.851343084812746037e-02
7.100000000000000000e+01,3.360000000000000000e+06,4.848108988034580125e-02
7.200000000000000000e+01,3.360000000000000000e+06,4.844920124864339483e-02
7.300000000000000000e+01,3.360000000000000000e+06,4.841775247418166755e-02
7.400000000000000000e+01,3.360000000000000000e+06,4.838673158749449282e-02
7.500000000000000000e+01,3.360000000000000000e+06,4.835612710113721541e-02
7.600000000000000000e+01,3.360000000000000000e+06,4.832592798414716423e-02
7.700000000000000000e+01,3.360000000000000000e+06,4.829612363817360060e-02
7.800000000000000000e+01,3.360000000000000000e+06,4.826670387514773314e-02
7.900000000000000000e+01,3.360000000000000000e+06,4.823765889637519205e-02
8.000000000000000000e+01,3.360000000000000000e+06,4.820897927294355567e-02
8.100000000000000000e+01,3.360000000000000000e+06,4.818065592734684099e-02
8.200000000000000000e+01,3.360000000000000000e+06,4.815268011623750205e-02
8.300000000000000000e+01,3.360000000000000000e+06,4.812504341422375181e-02
8.400000000000000000e+01,3.360000000000000000e+06,4.809773769863724679e-02
8.500000000000000000e+01,3.360000000000000000e+06,4.807075513520207843e-02
8.600000000000000000e+01,3.360000000000000000e+06,4.804408816454200370e-02
8.700000000000000000e+01,3.360000000000000000e+06,4.801772948946755881e-02
8.800000000000000000e+01,3.360000000000000000e+06,4.799167206298968896e-02
8.900000000000000000e+01,3.360000000000000000e+06,4.796590907701072520e-02
9.000000000000000000e+01,3.360000000000000000e+06,4.794043395164699489e-02
9.100000000000000000e+01,3.360000000000000000e+06,4.791524032514158510e-02
9.200000000000000000e+01,3.360000000000000000e+06,4.789032204432818601e-02
9.300000000000000000e+01,3.360000000000000000e+06,4.786567315561057745e-02
9.400000000000000000e+01,3.360000000000000000e+06,4.784128789642439622e-02
9.500000000000000000e+01,3.360000000000000000e+06,4.781716068715077816e-02
9.600000000000000000e+01,3.360000000000000000e+06,4.779328612345332822e-02
9.700000000000000000e+01,3.360000000000000000e+06,4.776965896901229358e-02
9.800000000000000000e+01,3.360000000000000000e+06,4.774627414863109875e-02
9.900000000000000000e+01,3.360000000000000000e+06,4.772312674169313512e-02
